COMPAÑIA,GLOBAL_VENTAS
"Interworks Unlimited, Inc.",0.01
Genterprise,0.01
New World Computing,0.01
Otomate,0.01
Ascaron Entertainment,0.01
Stainless Games,0.01
Ongakukan,0.01
Commseed,0.01
Takuyo,0.01
Boost On,0.01
Naxat Soft,0.01
